,Package Id,Package Timestamp,Indicator Timestamp,Indicator Title,Observable Type,Indicator Types,TTP Type,TTP Name,Domain,Domain isFQDN,URI,URI Type,IP,IP Category,IP isSource,ASN,ASN Category,ASN isSource,Port,Protocol,File,File Hash,File Format,File Hash Type,Producer Name,Indicator Description,Observable Description,TTP Description,Produced Time,Received Time,Contributing Sources,References
0,Package-ed647fbd-3ea3-4fce-b6a1-e51034a55b7a,2019-04-01T10:23:59.828579+00:00,2014-10-31T16:44:24.766014+00:00,ZeuS,Domain,Domain Watchlist-URL Watchlist-File Hash Watchlist,Remote Access Trojan,ZeuS-Zbot-Zeus,s-k.kiev.ua,True ,http://s-k.kiev.ua/html/30/config.bin,URL,,,,,,,,,config.bin,9b5b5279ba86087853b3f09e605c7052,bin,MD5,zeustracker.abuse.ch,This domain s-k.kiev.ua has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=s-k.kiev.ua].,Domain: s-k.kiev.ua | isFQDN: True | ,"Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system",2014-10-13T00:00:00+00:00,2014-10-20T19:29:30+00:00,,
1,Package-2ade6c73-0235-413b-b979-c519b93ed8dc,2019-04-01T10:23:59.868309+00:00,2015-01-27T16:05:12.590527+00:00,Feodo,IP,IP Watchlist,Remote Access Trojan,Cridex-Bugat-Dridex,,,,,185.7.151.29,ipv4-addr,true,,,,,,,,,,feodotracker.abuse.ch,This IP address 185.7.151.29 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/185.7.151.29].,IPv4: 185.7.151.29 | isSource: True | ,"Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials",2015-01-27T11:21:43+00:00,2015-01-27T16:05:12+00:00,,
2,Package-a58c8fe5-f1f3-43bf-b4bd-2ceb69f98e87,2019-04-01T10:23:59.892829+00:00,2014-12-02T16:05:10.786002+00:00,ZeuS,File,IP Watchlist-URL Watchlist-File Hash Watchlist,Remote Access Trojan,ZeuS-Zbot-Zeus,,,http://77.74.194.174/js/prince/helps/file.php,URL,77.74.194.174,ipv4-addr,true,,,,,,file.php,8c0a8d246adb7ded4a8d1a162dc14eeb,php,MD5,zeustracker.abuse.ch,This IP address 77.74.194.174 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=77.74.194.174].,FileName: file.php | FileHash: 8c0a8d246adb7ded4a8d1a162dc14eeb | ,"Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system",2014-12-02T00:00:00+00:00,2014-12-02T16:05:10+00:00,,
3,Package-2546f8a3-feee-42cc-9339-05cfe67a987a,2019-04-01T10:23:59.934780+00:00,2015-05-09T15:07:39.375790+00:00,ZeuS,Domain,Domain Watchlist-URL Watchlist-File Hash Watchlist,,,krestenbv.nl,True ,http://krestenbv.nl/gim/info/mynah.php,URL,,,,,,,,,mynah.php,fce9f6a0a21ee6fbd4b6f194d4d9c04d,php,MD5,zeustracker.abuse.ch,This domain krestenbv.nl has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=krestenbv.nl].,Domain: krestenbv.nl | isFQDN: True | ,,2015-05-09T00:00:00+00:00,2015-05-09T15:07:39+00:00,,
4,Package-7556d596-242e-4731-91ac-ff231af7035e,2019-04-01T10:23:59.974783+00:00,2016-06-08T15:06:24.287712+00:00,ZeuS,URI,Domain Watchlist-URL Watchlist-File Hash Watchlist,,,arthur-thomas.info,True ,http://arthur-thomas.info/wp-zuesmoney/config.jpg,URL,,,,,,,,,config.jpg,ab3ab81985b4c9945c3ca5036fb3c309,jpg,MD5,zeustracker.abuse.ch,This domain arthur-thomas.info has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=arthur-thomas.info].,URI: http://arthur-thomas.info/wp-zuesmoney/config.jpg | Type: URL | ,,2016-06-08T00:00:00+00:00,2016-06-08T15:06:24+00:00,,
5,Package-e2713eab-16f6-49c6-8cbc-630055d9830b,2019-04-01T10:24:00.014869+00:00,2015-02-24T16:05:13.131920+00:00,Feodo,IP,IP Watchlist,,,,,,,5.101.142.94,ipv4-addr,true,,,,,,,,,,feodotracker.abuse.ch,This IP address 5.101.142.94 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/5.101.142.94].,IPv4: 5.101.142.94 | isSource: True | ,,2015-02-16T09:21:01+00:00,2015-02-24T16:05:13+00:00,,
6,Package-cb4bf8a4-697f-451e-b7d1-94c3e022caa4,2019-04-01T10:24:00.031080+00:00,2014-10-31T16:44:24.832117+00:00,ZeuS,IP,IP Watchlist-URL Watchlist-File Hash Watchlist,Remote Access Trojan,ZeuS-Zbot-Zeus,,,http://46.22.173.133/prince/config.bin,URL,46.22.173.133,ipv4-addr,true,,,,,,config.bin,6e862777cc3aa92c7a0257ff049c0be0,bin,MD5,zeustracker.abuse.ch,This IP address 46.22.173.133 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=46.22.173.133].,IPv4: 46.22.173.133 | isSource: True | ,"Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system",2014-10-30T00:00:00+00:00,2014-10-31T16:44:24+00:00,,
7,Package-a3a5c8da-8104-49af-80f8-81d7bbeb603e,2019-04-01T10:24:01.006360+00:00,2015-05-10T02:07:44.733017+00:00,ZeuS,Domain,Domain Watchlist-URL Watchlist,,,richus.ru,True ,http://richus.ru/tsuchiya.jpg,URL,,,,,,,,,,,,,zeustracker.abuse.ch,This domain richus.ru has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=richus.ru].,Domain: richus.ru | isFQDN: True | ,,2015-05-09T00:00:00+00:00,2015-05-10T02:07:44+00:00,,
8,Package-491dc471-66bc-472a-97bf-48a8c3006bc9,2019-04-01T10:24:01.048870+00:00,2014-10-31T16:44:24.976133+00:00,ZeuS,URI,Domain Watchlist-URL Watchlist-File Hash Watchlist,Remote Access Trojan,ZeuS-Zbot-Zeus,longthuongxotchua.fr,True ,http://longthuongxotchua.fr/xtasts/modules/config.bin,URL,,,,,,,,,config.bin,36d4dba0292ae4772aedeeca5971ecd8,bin,MD5,zeustracker.abuse.ch,This domain longthuongxotchua.fr has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=longthuongxotchua.fr].,URI: http://longthuongxotchua.fr/xtasts/modules/config.bin | Type: URL | ,"Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system",2014-10-31T00:00:00+00:00,2014-10-31T16:44:24+00:00,,
9,Package-e594db06-acca-47bc-9be6-db99c3aee1e3,2019-04-01T10:24:01.121796+00:00,2015-04-09T15:07:23.604131+00:00,Feodo,IP,IP Watchlist,,,,,,,87.236.215.151,ipv4-addr,true,,,,,,,,,,feodotracker.abuse.ch,This IP address 87.236.215.151 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/87.236.215.151].,IPv4: 87.236.215.151 | isSource: True | ,,2015-04-09T07:54:03+00:00,2015-04-09T15:07:23+00:00,,
10,Package-69b44fcd-cdd2-4f84-9b3c-085eab4f074e,2019-04-01T10:24:01.139787+00:00,2015-03-02T16:05:08.513865+00:00,ZeuS,Domain,Domain Watchlist-URL Watchlist-File Hash Watchlist,,,soha-ac.ir,True ,http://soha-ac.ir/wp-includes/php/css/plugin/config.bin,URL,,,,,,,,,config.bin,c2a98d5685aea7e14548057725c6be7c,bin,MD5,zeustracker.abuse.ch,This domain soha-ac.ir has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=soha-ac.ir].,Domain: soha-ac.ir | isFQDN: True | ,,2015-03-02T00:00:00+00:00,2015-03-02T16:05:08+00:00,,
