"","Indicator.Title","Observable.Type","Indicator.Types","TTP.Type","TTP.Name","Domain","URI","IP","File.Format","Indicator.Description","Observable.Description","TTP.Description","Received.Time","New_Received_Time","Year","Country","Month"
"1","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","s-k.kiev.ua","http://s-k.kiev.ua/html/30/config.bin","","bin","This domain s-k.kiev.ua has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=s-k.kiev.ua].","Domain: s-k.kiev.ua | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-20T19:29:30+00:00",2014-10-20 19:29:30,2014,"","Oct"
"2","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","185.7.151.29","","This IP address 185.7.151.29 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/185.7.151.29].","IPv4: 185.7.151.29 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2015-01-27T16:05:12+00:00",2015-01-27 16:05:12,2015,"","Jan"
"3","ZeuS","File","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://77.74.194.174/js/prince/helps/file.php","77.74.194.174","php","This IP address 77.74.194.174 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=77.74.194.174].","FileName: file.php | FileHash: 8c0a8d246adb7ded4a8d1a162dc14eeb | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-12-02T16:05:10+00:00",2014-12-02 16:05:10,2014,"","Dec"
"7","ZeuS","IP","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://46.22.173.133/prince/config.bin","46.22.173.133","bin","This IP address 46.22.173.133 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=46.22.173.133].","IPv4: 46.22.173.133 | isSource: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"9","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","longthuongxotchua.fr","http://longthuongxotchua.fr/xtasts/modules/config.bin","","bin","This domain longthuongxotchua.fr has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=longthuongxotchua.fr].","URI: http://longthuongxotchua.fr/xtasts/modules/config.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"20","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","site.ivarstyle.com","http://site.ivarstyle.com/main/cfg.bin","","bin","This domain site.ivarstyle.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=site.ivarstyle.com].","Domain: site.ivarstyle.com | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-21T15:07:42+00:00",2014-10-21 15:07:42,2014,"","Oct"
"22","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","5.187.1.78","","This IP address 5.187.1.78 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/5.187.1.78].","IPv4: 5.187.1.78 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"25","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","cmbonline.in","http://cmbonline.in/wp-admin/css/colors/admin1/config.bin","","bin","This domain cmbonline.in has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=cmbonline.in].","FileName: config.bin | FileHash: 94aeaac6da1f1e66d6f0db51c2cc9148 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"34","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","vinltd.com","http://vinltd.com/suz/config.bin","","bin","This domain vinltd.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=vinltd.com].","Domain: vinltd.com | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"43","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","goomjav1kaformjavkd.com","http://goomjav1kaformjavkd.com/neverwind/tmp/pixel.jpg","","jpg","This domain goomjav1kaformjavkd.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=goomjav1kaformjavkd.com].","URI: http://goomjav1kaformjavkd.com/neverwind/tmp/pixel.jpg | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
